Accession	BioSampleAccession	BioSampleName	SequenceLength	SequenceDefinition
CP014471.1	SAMN04437026	Bacillus subtilis subsp. natto strain CGMCC 2108, complete genome.	4122154	Bacillus subtilis subsp. natto strain CGMCC 2108, complete genome.
CP014472.1	SAMN04437026	Bacillus subtilis subsp. natto strain CGMCC 2108 plasmid unnamed1, complete sequence.	5820	Bacillus subtilis subsp. natto strain CGMCC 2108 plasmid unnamed1, complete sequence.
CP014473.1	SAMN04437026	Bacillus subtilis subsp. natto strain CGMCC 2108 plasmid unnamed2, complete sequence.	65774	Bacillus subtilis subsp. natto strain CGMCC 2108 plasmid unnamed2, complete sequence.
CP015004.1	SAMN04585399	Bacillus subtilis strain SZMC 6179J, complete genome.	4195195	Bacillus subtilis strain SZMC 6179J, complete genome.
CP015222.1	SAMN03764478	Bacillus subtilis strain HRBS-10TDI13 chromosome, complete genome.	4186269	Bacillus subtilis strain HRBS-10TDI13 chromosome, complete genome.
CP015223.1	SAMN03764478	Bacillus subtilis strain HRBS-10TDI13 plasmid unnamed, complete sequence.	9149	Bacillus subtilis strain HRBS-10TDI13 plasmid unnamed, complete sequence.
CP015375.1	SAMN04281244	Bacillus subtilis subsp. subtilis strain KCTC 3135, complete genome.	4211343	Bacillus subtilis subsp. subtilis strain KCTC 3135, complete genome.
CP015975.1	SAMN05150066	Bacillus subtilis subsp. subtilis strain delta6 chromosome, complete genome.	3876919	Bacillus subtilis subsp. subtilis strain delta6 chromosome, complete genome.
CP016852.1	SAMN05526243	Bacillus subtilis subsp. subtilis strain 168G, complete genome.	4214812	Bacillus subtilis subsp. subtilis strain 168G, complete genome.
CP016894.1	SAMN05520947	Bacillus subtilis strain HJ0-6, complete genome.	4235115	Bacillus subtilis strain HJ0-6, complete genome.
CP017112.1	SAMN05717667	Bacillus subtilis strain BS16045, complete genome.	4165121	Bacillus subtilis strain BS16045, complete genome.
CP017314.1	SAMN05717668	Bacillus subtilis strain BS38, complete genome.	4010416	Bacillus subtilis strain BS38, complete genome.
CP017763.1	SAMN05920240	Bacillus subtilis strain 29R7-12, complete sequence.	4121999	Bacillus subtilis strain 29R7-12, complete sequence.
CP017764.1	SAMN05920240	Bacillus subtilis strain 29R7-12 plasmid unnamed1, complete sequence.	64604	Bacillus subtilis strain 29R7-12 plasmid unnamed1, complete sequence.
CP017765.1	SAMN05920240	Bacillus subtilis strain 29R7-12 plasmid unnamed2, complete sequence.	17447	Bacillus subtilis strain 29R7-12 plasmid unnamed2, complete sequence.
CP018184.1	SAMN06060088	Bacillus subtilis strain KH2, complete genome.	4138265	Bacillus subtilis strain KH2, complete genome.
CP018185.1	SAMN06060088	Bacillus subtilis strain KH2 plasmid, complete sequence.	74165	Bacillus subtilis strain KH2 plasmid, complete sequence.
CP020023.1	SAMN06544785	Bacillus subtilis strain ATCC 21228 chromosome, complete genome.	4141030	Bacillus subtilis strain ATCC 21228 chromosome, complete genome.
CP020024.1	SAMN06544785	Bacillus subtilis strain ATCC 21228 plasmid pLDW-15, complete sequence.	85618	Bacillus subtilis strain ATCC 21228 plasmid pLDW-15, complete sequence.
CP020102.1	SAMN06472805	Bacillus subtilis strain NCIB 3610 chromosome, complete genome.	4215607	Bacillus subtilis strain NCIB 3610 chromosome, complete genome.
CP020103.1	SAMN06472805	Bacillus subtilis strain NCIB 3610 plasmid pBS32, complete sequence.	84215	Bacillus subtilis strain NCIB 3610 plasmid pBS32, complete sequence.
CP020367.1	SAMN06618433	Bacillus subtilis strain GQJK2 chromosome, complete genome.	4072961	Bacillus subtilis strain GQJK2 chromosome, complete genome.
CP020915.1	SAMN06806502	Bacillus subtilis strain 50-1 chromosome, complete genome.	4040837	Bacillus subtilis strain 50-1 chromosome, complete genome.
CP021123.1	SAMN06885112	Bacillus subtilis strain SEM-9 chromosome, complete genome.	4121982	Bacillus subtilis strain SEM-9 chromosome, complete genome.
CP021169.1	SAMN06808294	Bacillus subtilis strain TLO3 chromosome, complete genome.	3923177	Bacillus subtilis strain TLO3 chromosome, complete genome.
CP021498.1	SAMN07125937	Bacillus subtilis subsp. subtilis strain SRCM101444 chromosome, complete genome.	3988602	Bacillus subtilis subsp. subtilis strain SRCM101444 chromosome, complete genome.
CP021499.1	SAMN07125938	Bacillus subtilis subsp. subtilis strain SRCM100757 chromosome, complete genome.	3988649	Bacillus subtilis subsp. subtilis strain SRCM100757 chromosome, complete genome.
CP021507.1	SAMN07125936	Bacillus subtilis subsp. subtilis strain SRCM101441 chromosome, complete genome.	4190134	Bacillus subtilis subsp. subtilis strain SRCM101441 chromosome, complete genome.
CP021508.1	SAMN07125936	Bacillus subtilis subsp. subtilis strain SRCM101441 plasmid pBL1441-1 sequence.	9149	Bacillus subtilis subsp. subtilis strain SRCM101441 plasmid pBL1441-1 sequence.
CP021889.1	SAMN07204268	Bacillus subtilis subsp. subtilis strain SRCM100761 chromosome, complete genome.	3988630	Bacillus subtilis subsp. subtilis strain SRCM100761 chromosome, complete genome.
CP021903.1	SAMN07212162	Bacillus subtilis strain ge28 chromosome, complete genome.	4065429	Bacillus subtilis strain ge28 chromosome, complete genome.
CP021921.1	SAMN07211386	Bacillus subtilis subsp. subtilis strain SRCM101392 chromosome, complete genome.	4147173	Bacillus subtilis subsp. subtilis strain SRCM101392 chromosome, complete genome.
CP022890.1	SAMN07482639	Bacillus subtilis strain DKU_NT_02 chromosome, complete genome.	4014255	Bacillus subtilis strain DKU_NT_02 chromosome, complete genome.
CP022891.1	SAMN07482641	Bacillus subtilis strain DKU_NT_03 chromosome, complete genome.	4196031	Bacillus subtilis strain DKU_NT_03 chromosome, complete genome.
CP023257.1	SAMN07598856	Bacillus subtilis strain TLO3 chromosome, complete genome.	4072939	Bacillus subtilis strain TLO3 chromosome, complete genome.
CP023409.1	SAMN07259745	Bacillus subtilis strain 7PJ-16 chromosome, complete genome.	4209045	Bacillus subtilis strain 7PJ-16 chromosome, complete genome.
CP026010.1	SAMN07460133	Bacillus subtilis strain ATCC 11774 chromosome, complete genome.	4110138	Bacillus subtilis strain ATCC 11774 chromosome, complete genome.
CP026030.1	SAMN08362834	Bacillus subtilis strain PK3_9 chromosome, complete genome.	4083407	Bacillus subtilis strain PK3_9 chromosome, complete genome.
CP026034.1	SAMN08362830	Bacillus subtilis strain PK5_52 chromosome, complete genome.	4088626	Bacillus subtilis strain PK5_52 chromosome, complete genome.
CP026035.1	SAMN08362829	Bacillus subtilis strain PK5_68 chromosome, complete genome.	4151624	Bacillus subtilis strain PK5_68 chromosome, complete genome.
CP026036.1	SAMN08362828	Bacillus subtilis strain PK5_16 chromosome, complete genome.	4040032	Bacillus subtilis strain PK5_16 chromosome, complete genome.
CP026037.1	SAMN08362827	Bacillus subtilis strain PK5_17 chromosome, complete genome.	4086149	Bacillus subtilis strain PK5_17 chromosome, complete genome.
CP026038.1	SAMN08362826	Bacillus subtilis PY79 strain PK1_3 chromosome, complete genome.	4145998	Bacillus subtilis PY79 strain PK1_3 chromosome, complete genome.
CP026039.1	SAMN08362825	Bacillus subtilis strain PK1_2 chromosome, complete genome.	4145939	Bacillus subtilis strain PK1_2 chromosome, complete genome.
CP028201.1	SAMN08707581	Bacillus subtilis strain SRCM102753 chromosome, complete genome.	4025706	Bacillus subtilis strain SRCM102753 chromosome, complete genome.
CP028202.1	SAMN08707582	Bacillus subtilis strain SRCM102754 chromosome, complete genome.	4281863	Bacillus subtilis strain SRCM102754 chromosome, complete genome.
CP028203.1	SAMN08707582	Bacillus subtilis strain SRCM102754 plasmid unnamed1, complete sequence.	20910	Bacillus subtilis strain SRCM102754 plasmid unnamed1, complete sequence.
CP028209.1	SAMN08707588	Bacillus subtilis strain SRCM102745 chromosome, complete genome.	4102601	Bacillus subtilis strain SRCM102745 chromosome, complete genome.
CP028212.1	SAMN08707591	Bacillus subtilis strain SRCM102748 chromosome, complete genome.	4210797	Bacillus subtilis strain SRCM102748 chromosome, complete genome.
CP028213.1	SAMN08707592	Bacillus subtilis strain SRCM102749 chromosome, complete genome.	4192708	Bacillus subtilis strain SRCM102749 chromosome, complete genome.
CP028214.1	SAMN08707592	Bacillus subtilis strain SRCM102749 plasmid unnamed1, complete sequence.	28255	Bacillus subtilis strain SRCM102749 plasmid unnamed1, complete sequence.
CP028215.1	SAMN08707593	Bacillus subtilis strain SRCM102750 chromosome, complete genome.	4098278	Bacillus subtilis strain SRCM102750 chromosome, complete genome.
CP028216.1	SAMN08707593	Bacillus subtilis strain SRCM102750 plasmid unnamed1, complete sequence.	84569	Bacillus subtilis strain SRCM102750 plasmid unnamed1, complete sequence.
CP028217.1	SAMN08707594	Bacillus subtilis strain SRCM102751 chromosome, complete genome.	4047680	Bacillus subtilis strain SRCM102751 chromosome, complete genome.
CP028218.1	SAMN08707595	Bacillus subtilis strain SRCM102756 chromosome, complete genome.	4145782	Bacillus subtilis strain SRCM102756 chromosome, complete genome.
CP029461.2	SAMN09212889	Bacillus subtilis strain QB61 chromosome, complete genome.	4120380	Bacillus subtilis strain QB61 chromosome, complete genome.
CP029609.1	SAMN09273200	Bacillus subtilis subsp. subtilis strain G7 chromosome, complete genome.	4216133	Bacillus subtilis subsp. subtilis strain G7 chromosome, complete genome.
CP031693.1	SAMN09759286	Bacillus subtilis strain SRCM101393 chromosome, complete genome.	4089165	Bacillus subtilis strain SRCM101393 chromosome, complete genome.
CP031783.1	SAMN09874175	Bacillus subtilis strain MENO2 voucher National Research Centre chromosome, complete genome.	4083694	Bacillus subtilis strain MENO2 voucher National Research Centre chromosome, complete genome.
CP031784.1	SAMN09874192	Bacillus subtilis strain HMNig-2 chromosome, complete genome.	4178124	Bacillus subtilis strain HMNig-2 chromosome, complete genome.
CP032852.1	SAMN10225144	Bacillus subtilis subsp. subtilis strain GFR-12 chromosome, complete genome.	4202955	Bacillus subtilis subsp. subtilis strain GFR-12 chromosome, complete genome.
CP032853.1	SAMN10225145	Bacillus subtilis subsp. subtilis strain MH-1 chromosome, complete genome.	4184648	Bacillus subtilis subsp. subtilis strain MH-1 chromosome, complete genome.
CP032854.1	SAMN10225145	Bacillus subtilis subsp. subtilis strain MH-1 plasmid unnamed1, complete sequence.	24698	Bacillus subtilis subsp. subtilis strain MH-1 plasmid unnamed1, complete sequence.
CP032857.1	SAMN10225147	Bacillus subtilis subsp. subtilis strain 2RL2-3 chromosome, complete genome.	4191876	Bacillus subtilis subsp. subtilis strain 2RL2-3 chromosome, complete genome.
CP032858.1	SAMN10225147	Bacillus subtilis subsp. subtilis strain 2RL2-3 plasmid unnamed1, complete sequence.	143743	Bacillus subtilis subsp. subtilis strain 2RL2-3 plasmid unnamed1, complete sequence.
CP032859.1	SAMN10225147	Bacillus subtilis subsp. subtilis strain 2RL2-3 plasmid unnamed2, complete sequence.	9827	Bacillus subtilis subsp. subtilis strain 2RL2-3 plasmid unnamed2, complete sequence.
CP032860.1	SAMN10225188	Bacillus subtilis subsp. subtilis strain SSJ-1 chromosome, complete genome.	4199434	Bacillus subtilis subsp. subtilis strain SSJ-1 chromosome, complete genome.
CP032861.1	SAMN10225190	Bacillus subtilis subsp. subtilis strain N1-1 chromosome, complete genome.	4108100	Bacillus subtilis subsp. subtilis strain N1-1 chromosome, complete genome.
CP032862.1	SAMN10225190	Bacillus subtilis subsp. subtilis strain N1-1 plasmid unnamed1, complete sequence.	64613	Bacillus subtilis subsp. subtilis strain N1-1 plasmid unnamed1, complete sequence.
CP032863.1	SAMN10225254	Bacillus subtilis subsp. subtilis strain N2-2 chromosome, complete genome.	4122398	Bacillus subtilis subsp. subtilis strain N2-2 chromosome, complete genome.
CP032864.1	SAMN10225254	Bacillus subtilis subsp. subtilis strain N2-2 plasmid unnamed1, complete sequence.	64616	Bacillus subtilis subsp. subtilis strain N2-2 plasmid unnamed1, complete sequence.
CP032865.1	SAMN10225269	Bacillus subtilis subsp. subtilis strain N3-1 chromosome, complete genome.	4122184	Bacillus subtilis subsp. subtilis strain N3-1 chromosome, complete genome.
CP032866.1	SAMN10225269	Bacillus subtilis subsp. subtilis strain N3-1 plasmid unnamed1, complete sequence.	64615	Bacillus subtilis subsp. subtilis strain N3-1 plasmid unnamed1, complete sequence.
CP032867.1	SAMN10225276	Bacillus subtilis subsp. subtilis strain N4-2 chromosome, complete genome.	4119216	Bacillus subtilis subsp. subtilis strain N4-2 chromosome, complete genome.
CP032868.1	SAMN10225276	Bacillus subtilis subsp. subtilis strain N4-2 plasmid unnamed1, complete sequence.	64614	Bacillus subtilis subsp. subtilis strain N4-2 plasmid unnamed1, complete sequence.
CP032872.1	SAMN10225133	Bacillus subtilis subsp. subtilis strain 2KL1 chromosome, complete genome.	4196696	Bacillus subtilis subsp. subtilis strain 2KL1 chromosome, complete genome.
CP032873.1	SAMN10225133	Bacillus subtilis subsp. subtilis strain 2KL1 plasmid unnamed1, complete sequence.	143751	Bacillus subtilis subsp. subtilis strain 2KL1 plasmid unnamed1, complete sequence.
CP032874.1	SAMN10225133	Bacillus subtilis subsp. subtilis strain 2KL1 plasmid unnamed2, complete sequence.	9827	Bacillus subtilis subsp. subtilis strain 2KL1 plasmid unnamed2, complete sequence.
CP033205.1	SAMN08863465	Bacillus subtilis strain MBI 600 chromosome, complete genome.	4076736	Bacillus subtilis strain MBI 600 chromosome, complete genome.
CP034484.1	SAMN10537431	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10 strain NCIB 3610 chromosome, complete genome.	4211262	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10 strain NCIB 3610 chromosome, complete genome.
CP034485.1	SAMN10537431	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10 strain NCIB 3610 plasmid unnamed, complete sequence.	84215	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10 strain NCIB 3610 plasmid unnamed, complete sequence.
CP035161.1	SAMN10742270	Bacillus subtilis strain SRCM103862 chromosome, complete genome.	4133206	Bacillus subtilis strain SRCM103862 chromosome, complete genome.
CP035162.1	SAMN10742278	Bacillus subtilis strain SRCM103886 chromosome, complete genome.	4206125	Bacillus subtilis strain SRCM103886 chromosome, complete genome.
CP035163.1	SAMN10742280	Bacillus subtilis strain SRCM103923 chromosome, complete genome.	4113808	Bacillus subtilis strain SRCM103923 chromosome, complete genome.
CP035164.1	SAMN10742282	Bacillus subtilis strain SRCM104005 chromosome, complete genome.	4136114	Bacillus subtilis strain SRCM104005 chromosome, complete genome.
CP035165.1	SAMN10742284	Bacillus subtilis strain SRCM103881 chromosome, complete genome.	4147136	Bacillus subtilis strain SRCM103881 chromosome, complete genome.
CP035166.1	SAMN10742484	Bacillus subtilis strain SRCM103971 chromosome, complete genome.	4111350	Bacillus subtilis strain SRCM103971 chromosome, complete genome.
CP035167.1	SAMN10743274	Bacillus subtilis strain SRCM104008 chromosome, complete genome.	4058528	Bacillus subtilis strain SRCM104008 chromosome, complete genome.
CP035191.1	SAMN10743314	Bacillus subtilis strain SRCM104011 chromosome, complete genome.	4058524	Bacillus subtilis strain SRCM104011 chromosome, complete genome.
CP035192.1	SAMN10743314	Bacillus subtilis strain SRCM104011 plasmid unnamed1.	46592	Bacillus subtilis strain SRCM104011 plasmid unnamed1.
CP035226.1	SAMN10754103	Bacillus subtilis strain SRCM103517 chromosome, complete genome.	4192706	Bacillus subtilis strain SRCM103517 chromosome, complete genome.
CP035227.1	SAMN10754103	Bacillus subtilis strain SRCM103517 plasmid unnamed1.	22926	Bacillus subtilis strain SRCM103517 plasmid unnamed1.
CP035230.1	SAMN10754253	Bacillus subtilis strain SRCM103551 chromosome, complete genome.	4051556	Bacillus subtilis strain SRCM103551 chromosome, complete genome.
CP035231.1	SAMN10754256	Bacillus subtilis strain SRCM103571 chromosome, complete genome.	4133685	Bacillus subtilis strain SRCM103571 chromosome, complete genome.
CP035390.1	SAMN10790856	Bacillus subtilis strain SRCM103641 chromosome, complete genome.	4110403	Bacillus subtilis strain SRCM103641 chromosome, complete genome.
CP035391.1	SAMN10790858	Bacillus subtilis strain SRCM103689 chromosome, complete genome.	4096442	Bacillus subtilis strain SRCM103689 chromosome, complete genome.
CP035392.1	SAMN10790858	Bacillus subtilis strain SRCM103689 plasmid unnamed1.	27344	Bacillus subtilis strain SRCM103689 plasmid unnamed1.
CP035394.1	SAMN10790860	Bacillus subtilis strain SRCM103696 chromosome, complete genome.	4035212	Bacillus subtilis strain SRCM103696 chromosome, complete genome.
CP035395.1	SAMN10790878	Bacillus subtilis strain SRCM103697 chromosome, complete genome.	4072580	Bacillus subtilis strain SRCM103697 chromosome, complete genome.
CP035396.1	SAMN10790878	Bacillus subtilis strain SRCM103697 plasmid unnamed1, complete sequence.	84909	Bacillus subtilis strain SRCM103697 plasmid unnamed1, complete sequence.
CP035397.1	SAMN10790879	Bacillus subtilis strain SRCM103773 chromosome, complete genome.	4052954	Bacillus subtilis strain SRCM103773 chromosome, complete genome.
CP035398.1	SAMN10790879	Bacillus subtilis strain SRCM103773 plasmid unnamed1, complete sequence.	84496	Bacillus subtilis strain SRCM103773 plasmid unnamed1, complete sequence.
